parameter,value
project_dir,E:\forest_microclimate\ForestMicroclimate
output_dir,E:\forest_microclimate\ForestMicroclimate\results\Modeling_Machine_Learning_Explanation
python_env_dir,D:\ProgramData\anaconda3\envs\gee
python_interpreter,D:\ProgramData\anaconda3\envs\gee\python.exe
hourly_temperature_csv,E:\forest_microclimate\ForestMicroclimate\results\时间序列图\逐小时温度对齐表.csv
spi_daily_wide_xlsx,E:\forest_microclimate\ForestMicroclimate\results\daily_SPI_result\各站点SPI30d逐日宽表_2025.xlsx
static_site_csv,E:\forest_microclimate\ForestMicroclimate\Tensor_LatLong.csv
lai_8day_csv,E:\forest_microclimate\ForestMicroclimate\LAI\站点LAI_8日尺度提取结果.csv
fapar_8day_csv,E:\forest_microclimate\ForestMicroclimate\FAPAR\站点FAPAR_8日尺度提取结果.csv
micro_soil_daily_csv,E:\forest_microclimate\ForestMicroclimate\MicroTandSoilT.csv
ntl_csv,E:\forest_microclimate\ForestMicroclimate\HumanActivity\nighttime_light.csv
built_up_distance_csv,E:\forest_microclimate\ForestMicroclimate\HumanActivity\built_up_distance.csv
site_col,Site_ID
time_col,Time_UTC
macro_temp_col,ERA5_T2m_C
micro_temp_col,Observed_T15cm_C
has_both_col,Has_Both_Data
normal_spi_low,-0.5
normal_spi_high,0.5
extreme_spi_threshold,-2.0
min_status_hours,72
min_macro_sd,1.0
use_macro_sd_for_pair_flag,False
missing_drop_threshold,0.5
high_corr_threshold,0.85
random_seed,20250714
n_estimators,100
max_depth,4
min_samples_leaf,2
n_stability_seeds,5
n_permutation_repeats,5
enable_shap,False
enable_cv_permutation,False
run_levels,"('Mild', 'Moderate', 'Severe', 'Extreme')"
run_layers,"('site', 'site_month')"
FEATURES_TO_DROP,
HAS_SHAP,True
HAS_DOCX,True
RUNTIME_CACHE_DIR,E:\forest_microclimate\ForestMicroclimate\results\Modeling_Machine_Learning_Explanation\本次运行临时缓存_1784806918
